,pq_interval_ms_extracted,pr_interval_ms_extracted,p_amplitude_mv_extracted,p_duration_ms_extracted,q_amplitude_mv_extracted,qrs_duration_ms_extracted,qtc_bazett_ms_extracted,qt_interval_ms_extracted,r_amplitude_mv_extracted,s_amplitude_mv_extracted,st_elevation_mv_extracted,t_amplitude_mv_extracted,t_duration_ms_extracted
pq_interval_ms_v6,0.45928251927540675,0.4462489884193706,-0.056649933196001256,0.018933085344695018,0.1388332586588293,-0.00973672046557113,-0.14485084393801262,-0.1460746868127407,-0.10060202988436412,-0.06143032173420955,0.011075817937070805,-0.11331341491821455,-0.1423334326718771
pr_interval_ms_v6,0.47606824362357425,0.46501442550910466,-0.07657650930032911,0.009813093410563894,0.2065460495487751,0.05448998862778904,-0.1519514370246578,-0.14993982844095544,-0.07999915695359182,-0.05236415527686213,-0.003329009195113893,-0.14529250523450563,-0.17739264084247397
p_amplitude_mv_v6,0.03320625886651169,0.05525768857813837,0.44797116868995146,0.11390848460460931,0.18253605406021195,-0.05687609555162814,-0.078407671663579,-0.1394108887822438,-0.2663173692994971,-0.05404813375037228,0.023704734738115237,-0.3225605051147658,-0.19127785416346268
p_duration_ms_v6,0.2184069693382598,0.20343956112387562,-0.1600922376590049,-0.046881937609619985,0.08396440739654523,0.0313148115437852,-0.06765421972378931,-0.06443847119245383,-0.1148469618915629,-0.00847984040596784,-0.0033482834403035073,-0.0977429728638932,-0.08285327651534714
q_amplitude_mv_v6,0.10938846282810924,0.13624296399962194,0.2745579461748242,0.09513964658508306,0.5008411399323736,-0.0425895241529841,-0.10553986595535016,-0.16114308602312713,-0.29191175865828933,-0.32583704955826626,-0.0022791613768838107,-0.23512548354309581,-0.13427991788638463
qrs_duration_ms_v6,0.04877501662555829,0.052335567550324,-0.15259135931459217,-0.0395955633602046,0.054428888957909934,0.511224703348773,-0.012287223498854187,0.025117606419041517,0.06598975837603314,0.24632723827014802,-0.2352689612845341,-0.19782419458180295,-0.20388894363278195
qtc_bazett_ms_v6,-0.00040408658249482056,0.0075903943636128094,0.11442439684597949,0.03521347428224848,0.20045165927809352,0.01070534888800606,-0.1827424145018531,-0.1921869114819734,-0.14232133086199178,0.06161380222551842,0.03020532262083069,-0.49801619468286973,-0.42493216004934076
qt_interval_ms_v6,-0.14094774607201216,-0.14515654230358213,0.08130540058381876,0.01140567416981964,0.09057106357995023,-0.13975534190607067,-0.35439668554073417,-0.2731844245507456,-0.10329618092776077,0.10222982549646964,0.07395025765413027,-0.387205764679305,-0.39503941429190986
r_amplitude_mv_v6,-0.05121472118268666,-0.08804934953486254,-0.5061237351959765,-0.17926058507315765,-0.3459008482643785,0.05011457775014623,-0.028417588884075157,0.031213580522740158,0.9134038382807916,0.03633712412445741,0.10270800769833595,0.14604232301731465,-0.07309809679502303
s_amplitude_mv_v6,-0.08738237813882781,-0.08786198973940974,-0.12918907388082765,0.018288659591956812,-0.24738559357912274,0.3201287823816056,0.05340172839964443,0.1307552477865126,-0.1318630417596666,0.8106631253756953,-0.34055022674094865,-0.047499272420735164,-0.006023176176316882
st_elevation_mv_v6,-0.14721650995656083,-0.1619461321652485,-0.007233406456346711,-0.024068127931076065,-0.1479374999945046,-0.2503598638263612,-0.027120490048998632,0.06623161793140801,-0.06292630640448224,-0.04006842471496072,0.07532070480541275,0.33746247677334223,0.28138923316263775
t_amplitude_mv_v6,-0.1090102556343352,-0.12962276684003593,-0.13588950679763584,-0.07065475428891635,-0.29818581266982025,-0.2240978219226794,0.09198362548789718,0.1879301647076297,0.05352028621163985,-0.10836118301625665,0.06092641138551761,0.7120994052372823,0.45685495845410395
t_duration_ms_v6,-0.04374270200016698,-0.036125072866497666,0.13729567740915177,0.04931439227017002,0.1404519035152433,-0.06324994021173137,-0.25149228246001404,-0.25942577145938955,-0.15712594484399287,0.029005764600163443,0.01874038420986575,-0.4524509606078171,-0.42156343739628643
